,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
82,10.34,4842.0,-0.1205,10.3,10.3,762.0,4.7
83,13.79,4367.0,-0.0358,4.7,4.7,305.0,4.5
84,13.79,1349.0,0.0455,11.1,11.1,457.0,2.9
86,10.635065510058652,4055.0,-0.0028,10.0,10.0,660.0,5.6
87,6.89,3070.4877791356516,-0.1342,37.5,37.5,1953.0,3.8
88,10.34,3070.4877791356516,-0.0497,10.3,10.3,762.0,5.9
89,10.635065510058652,5642.0,-0.363,3.6,3.6,76.0,4.8
90,18.0,5361.0,-0.068,10.0,10.0,660.0,2.8
91,10.635065510058652,4062.0,0.1536,9.5,9.5,1836.0,1.8
92,13.79,1298.0,0.0845,7.8,7.8,591.0,1.5
94,13.79,2116.0,0.0305,7.8,7.8,591.0,3.9
96,6.79,1763.0,0.033,10.8,10.8,432.0,4.4
98,7.0,3770.0,0.0197,10.8,14.21544580709314,864.0,5.7
100,10.635065510058652,1492.0,-0.1208,8.589305208096429,14.21544580709314,35.0,2.9
101,9.68,5615.0,0.0477,6.4,15.9,830.5649623727313,1.7
102,10.635065510058652,3678.0,0.0238,5.6,14.21544580709314,2134.0,1.6
103,10.635065510058652,7025.0,-0.0373,4.7,4.7,318.0,3.4
104,18.27,815.0,-0.1258,8.589305208096429,3.0,150.0,1.3
105,15.51,3743.0,0.001,1.9,1.9,152.0,1.9
106,13.79,671.0,0.1476,7.7,7.7,457.0,1.6
107,0.31,3513.0,-0.0668,5.6,5.6,216.0,5.6
108,0.1,2000.0,-0.0093,15.0,120.0,10.0,7.0
109,11.0,4056.0,0.0436,9.3,9.3,1727.0,3.5
110,4.13,3070.4877791356516,0.0823,8.589305208096429,10.8,864.0,4.6
111,13.79,2997.0,-0.0298,7.8,7.8,591.0,4.9
113,8.96,2034.0,0.0656,11.5,11.5,1524.0,4.4
114,3.45,6049.0,0.0874,10.3,10.3,762.0,6.6
115,13.79,1682.0,0.0145,7.7,7.7,457.0,2.0
117,13.79,3070.4877791356516,-0.0438,4.7,14.21544580709314,318.0,4.5
118,10.635065510058652,2217.0,-0.03,10.0,10.0,1650.0,5.0
121,10.635065510058652,4986.0,-0.0297,3.0,14.21544580709314,400.0,5.5
123,3.45,3770.0,0.0063,10.3,10.3,762.0,2.0
124,13.79,3608.0,-0.0424,4.7,4.7,318.0,3.2
125,6.92,555.0,0.1234,12.7,38.1,737.0,2.1
126,13.79,2719.0,0.1351,5.6,14.21544580709314,2134.0,1.1
128,13.79,1356.0,0.1131,4.7,4.7,830.5649623727313,1.8
129,5.51,1478.0,0.0235,8.589305208096429,42.3,1778.0,3.7
130,13.79,1356.0,0.0685,7.8,7.8,591.0,2.7
131,3.45,3838.0,0.0051,10.3,10.3,762.0,4.3
132,18.27,2197.0,-0.1258,3.0,3.0,150.0,3.2
133,0.2,5600.0,-0.0373,8.589305208096429,120.0,10.0,5.2
134,18.96,3458.0,-0.1209,1.9,1.9,152.0,6.6
135,13.79,1354.0,0.0886,8.589305208096429,14.21544580709314,457.0,1.5
136,13.79,2333.0,0.0335,7.8,7.8,591.0,2.8
138,11.03,2672.0,0.0854,11.5,14.21544580709314,1524.0,4.4
139,13.79,2007.0,0.0297,7.7,7.7,457.0,2.8
140,7.03,4055.0,0.1113,10.8,10.8,864.0,1.4
141,6.89,549.0,0.0497,12.7,38.1,737.0,2.5
142,15.17,2685.0,0.0334,9.5,9.5,1836.0,2.5
144,10.635065510058652,4062.0,0.0487,10.8,10.8,830.5649623727313,3.8
145,13.79,1356.0,-0.2253,7.7,7.7,457.0,3.5
147,10.635065510058652,346.0,0.0404,11.1,11.1,457.0,2.9
151,6.89,7432.0,-0.0416,8.589305208096429,10.3,794.0,5.7
152,6.79,4096.0,-0.0188,10.8,10.8,432.0,5.5
153,13.79,1736.0,0.0622,7.8,7.8,830.5649623727313,3.5
154,12.07,2075.0,-0.074,1.9,1.9,152.0,4.0
156,0.51,5600.0,-0.0204,15.0,14.21544580709314,10.0,7.5
157,6.89,4503.0,-0.0413,10.3,10.3,794.0,7.7
158,10.34,4896.0,-0.0663,10.3,10.3,762.0,4.6
159,17.24,1939.0,0.0406,1.9,1.9,152.0,2.1
160,18.27,1356.0,-0.1258,3.0,3.0,150.0,1.4
162,10.635065510058652,3070.4877791356516,-0.0134,8.589305208096429,1.9,152.0,3.9
163,10.57,2767.0,0.0101,5.6,14.21544580709314,2134.0,4.5
165,12.07,3070.4877791356516,0.1695,1.9,1.9,152.0,1.9
166,11.03,2693.0,-0.027,5.6,14.21544580709314,2134.0,0.9
167,13.79,2523.0,0.2073,4.6,4.6,830.5649623727313,2.9
169,10.635065510058652,2428.0,-0.0266,1.9,14.21544580709314,152.0,4.8
170,6.89,3852.0,0.0714,23.6,23.6,610.0,2.5
172,13.79,1326.0,-0.0394,11.1,11.1,457.0,2.1
173,13.79,2729.0,0.0886,8.589305208096429,15.2,2134.0,1.2
174,13.79,3070.4877791356516,-0.0358,8.589305208096429,14.21544580709314,830.5649623727313,3.9
175,10.635065510058652,1533.0,0.0392,11.1,11.1,457.0,2.6
176,0.2,2000.0,-0.0373,15.0,120.0,10.0,5.0
178,7.0,3513.0,0.1888,5.6,14.21544580709314,830.5649623727313,3.4
179,15.51,2197.0,-0.0123,1.9,14.21544580709314,152.0,3.2
180,10.635065510058652,3070.4877791356516,0.1282,9.5,9.5,830.5649623727313,1.5
181,10.635065510058652,6239.0,-0.1806,4.7,4.7,830.5649623727313,5.8
184,11.07,4069.0,0.0588,11.5,11.5,1524.0,6.0
187,6.89,3070.4877791356516,-0.0257,10.3,10.3,762.0,4.6
189,3.86,3070.4877791356516,0.0049,10.8,14.21544580709314,432.0,4.2
191,18.96,2048.0,-0.0434,1.9,1.9,152.0,1.6
193,13.79,1396.0,0.0141,11.1,11.1,457.0,2.5
194,10.635065510058652,3811.0,-0.0698,37.5,37.5,1953.0,6.0
195,18.96,1939.0,-0.0444,1.9,14.21544580709314,696.0,2.2
196,6.86,4136.0,0.0863,5.6,5.6,432.0,3.8
197,9.65,2319.0,-0.0158,12.7,38.1,914.0,3.1
198,17.24,3070.4877791356516,-0.0156,1.9,1.9,152.0,3.4
199,12.0,1000.0,0.0428,8.589305208096429,10.0,1000.0,3.5
201,13.79,639.0,-0.0001,4.7,4.7,318.0,3.7
202,13.79,793.0,-0.1239,4.7,4.7,318.0,3.1
205,13.79,3770.0,0.0335,1.9,1.9,696.0,2.3
208,13.79,1344.0,0.1184,11.1,11.1,457.0,2.9
212,13.79,1383.0,-0.1377,7.7,14.21544580709314,457.0,4.3
213,7.14,3070.4877791356516,0.1651,10.8,14.21544580709314,864.0,3.0
217,16.0,2875.0,-0.03,10.0,14.21544580709314,890.0,5.6
219,10.635065510058652,3070.4877791356516,-0.3491,4.7,4.7,318.0,3.8
220,13.79,926.0,0.1305,7.7,7.7,830.5649623727313,1.6
222,10.635065510058652,3070.4877791356516,0.0853,4.7,4.7,318.0,4.3
224,10.34,7690.0,-0.0417,8.589305208096429,14.21544580709314,830.5649623727313,3.1
225,3.45,3960.0,0.0876,10.3,10.3,762.0,4.3
226,11.03,1354.0,0.1219,5.6,15.2,830.5649623727313,2.0
228,10.34,4855.0,-0.1339,10.3,10.3,830.5649623727313,6.5
229,6.89,3933.0,0.0887,5.6,5.6,432.0,1.8
230,6.89,2794.0,-0.0071,6.4,15.9,914.0,3.0
231,6.89,4842.0,-0.1961,10.3,10.3,830.5649623727313,6.8
232,10.635065510058652,6144.0,-0.0692,4.7,4.7,318.0,3.8
234,5.51,3070.4877791356516,0.0487,12.7,42.3,1778.0,2.0
235,0.1,1277.0,-0.0385,15.0,120.0,830.5649623727313,6.6
236,10.34,3070.4877791356516,-0.0322,10.3,10.3,762.0,5.4
238,13.79,3665.0,-0.1046,8.589305208096429,14.21544580709314,2134.0,3.1
239,3.45,3933.0,0.0051,10.3,10.3,762.0,3.7
242,6.89,7880.0,-0.0264,10.3,10.3,830.5649623727313,12.9
243,15.51,3024.0,-0.0335,8.589305208096429,14.21544580709314,696.0,2.6
244,11.03,4062.0,0.0588,9.5,9.5,1836.0,2.0
246,13.79,1316.0,-0.0404,5.7,5.7,625.0,3.7
247,10.635065510058652,3070.4877791356516,0.1959,10.8,10.8,432.0,3.7
248,13.79,3070.4877791356516,-0.0404,11.1,11.1,457.0,3.7
250,16.0,833.0,0.0334,10.0,10.0,1300.0,1.7
251,6.89,7269.0,-0.0008,12.8,12.8,830.5649623727313,7.7
252,13.79,2333.0,0.0336,7.8,14.21544580709314,591.0,5.3
253,6.89,4069.0,0.0656,11.5,11.5,1524.0,2.5
255,10.635065510058652,3070.4877791356516,-0.0103,7.7,14.21544580709314,457.0,5.5
256,10.635065510058652,6049.0,-0.06,10.3,10.3,762.0,6.5
257,18.0,1944.0,-0.0881,10.0,10.0,1650.0,3.2
259,6.99,3070.4877791356516,0.1517,8.5,24.6,1778.0,2.2
262,6.92,7568.0,0.0062,8.589305208096429,12.8,1930.0,4.2
263,13.79,332.0,-0.3183,11.1,14.21544580709314,457.0,3.1
264,6.92,762.0,0.1759,22.2,96.3,1778.0,6.0
265,12.07,3070.4877791356516,-0.0296,1.9,1.9,830.5649623727313,4.9
266,13.79,1277.0,0.0849,8.589305208096429,7.8,591.0,2.2
267,9.68,3070.4877791356516,-0.0408,6.4,15.9,914.0,3.1
269,9.68,3070.4877791356516,0.0087,6.4,15.9,830.5649623727313,2.9
270,6.89,5778.0,0.0254,10.3,14.21544580709314,762.0,2.8
272,13.79,1364.0,0.0126,5.6,15.2,2134.0,1.9
274,6.89,7866.0,-0.0417,10.3,10.3,762.0,6.5
275,10.635065510058652,3960.0,-0.0416,8.589305208096429,10.3,830.5649623727313,4.2
276,6.89,5357.0,0.0156,23.6,14.21544580709314,1972.0,3.7
277,10.635065510058652,1410.0,-0.0416,3.6,3.6,76.0,3.4
278,3.45,5737.0,0.0854,10.3,10.3,762.0,4.3
279,13.79,7391.0,0.0406,4.7,4.7,318.0,2.3
281,6.89,3070.4877791356516,0.0387,8.589305208096429,10.8,864.0,4.9
283,12.07,3458.0,-0.0296,1.9,1.9,830.5649623727313,3.4
284,6.79,3838.0,-0.0975,8.589305208096429,14.21544580709314,432.0,5.9
286,6.72,1858.0,-0.0801,10.8,10.8,432.0,5.8
287,0.51,2000.0,-0.0415,8.589305208096429,120.0,10.0,5.1
289,6.79,2034.0,-0.08,10.8,14.21544580709314,432.0,3.9
290,6.89,6117.0,-0.0469,10.3,10.3,794.0,4.4
291,12.07,2577.0,-0.0158,1.9,1.9,152.0,2.1
295,13.79,1858.0,0.0808,7.8,14.21544580709314,591.0,2.0
297,10.635065510058652,5696.0,0.0254,5.7,5.7,625.0,2.5
298,3.45,4001.0,0.1447,10.3,10.3,830.5649623727313,4.4
299,10.635065510058652,5547.0,-0.0522,10.3,10.3,794.0,6.9
300,13.79,3784.0,-0.0595,8.589305208096429,4.7,318.0,6.8
301,13.79,1980.0,0.1503,7.7,7.7,830.5649623727313,1.5
302,6.86,4096.0,0.0005,10.8,14.21544580709314,830.5649623727313,3.8
304,6.89,3825.0,0.0051,8.589305208096429,10.3,830.5649623727313,3.2
307,6.89,1161.0,0.1671,12.7,42.3,2743.0,1.3
309,10.57,3070.4877791356516,-0.0417,4.6,4.6,229.0,5.0
310,6.89,4136.0,0.1282,5.6,5.6,830.5649623727313,4.2
311,10.635065510058652,1356.0,-0.0071,7.7,7.7,457.0,4.9
312,13.79,5371.0,0.0287,8.589305208096429,14.21544580709314,625.0,3.5
313,10.635065510058652,2184.0,-0.0847,1.9,1.9,152.0,2.0
314,13.79,1804.0,0.0897,4.7,4.7,830.5649623727313,3.6
315,15.51,1356.0,-0.0135,5.6,14.21544580709314,2134.0,2.1
318,6.89,6795.0,-0.0434,10.3,14.21544580709314,794.0,6.2
320,13.79,3070.4877791356516,-0.0309,7.8,7.8,591.0,3.8
323,13.79,1614.0,0.1275,7.7,14.21544580709314,457.0,1.5
324,13.79,2116.0,0.0926,8.589305208096429,7.8,591.0,2.4
325,10.34,4842.0,-0.1688,10.3,10.3,762.0,6.8
328,15.51,2729.0,0.1219,8.589305208096429,15.2,2134.0,1.0
329,13.79,1872.0,-0.0306,4.7,4.7,318.0,3.7
331,9.69,5601.0,0.0625,6.4,15.9,914.0,2.5
332,13.79,3838.0,0.0682,7.8,14.21544580709314,591.0,1.8
334,6.89,3730.0,-0.0008,12.8,12.8,1930.0,4.9
335,12.07,1695.0,-0.0443,8.589305208096429,1.9,696.0,3.2
336,13.79,1492.0,0.0886,7.8,7.8,591.0,2.5
337,13.79,1519.0,-0.0361,12.7,42.3,1778.0,3.9
343,13.79,1980.0,-0.0276,7.7,7.7,830.5649623727313,4.3
344,2.63,2848.0,-0.0136,3.0,3.0,150.0,3.0
345,13.79,1345.0,0.099,11.1,11.1,457.0,2.1
346,6.89,3070.4877791356516,0.0117,10.8,10.8,830.5649623727313,4.3
349,6.89,5438.0,0.0214,12.8,12.8,1930.0,2.5
350,13.79,7012.0,-0.3338,4.7,4.7,318.0,7.0
351,13.79,5208.0,-0.0349,5.7,5.7,625.0,3.5
353,6.89,1926.0,0.2073,23.6,23.6,1972.0,2.4
354,13.79,963.0,0.0027,7.7,14.21544580709314,830.5649623727313,3.0
356,11.03,2679.0,0.1404,9.5,9.5,1836.0,1.9
357,3.45,7554.0,0.0143,10.3,10.3,830.5649623727313,3.9
359,10.635065510058652,7500.0,-0.0943,8.589305208096429,12.8,610.0,3.2
360,10.635065510058652,7866.0,-0.0427,10.3,10.3,762.0,5.7
363,6.89,2807.0,-0.0975,5.6,5.6,2134.0,8.0
365,13.79,4069.0,-0.0111,9.5,9.5,1836.0,3.6
366,6.89,734.0,0.1144,12.8,12.8,1930.0,2.5
367,7.0,4042.0,0.0281,10.8,10.8,864.0,3.8
368,13.79,1641.0,0.1077,7.8,7.8,591.0,2.8
370,12.0,4700.0,-0.0297,10.0,10.0,1000.0,5.5
372,3.9,4136.0,-0.0404,5.6,14.21544580709314,432.0,5.5
373,6.86,2034.0,0.0029,10.8,10.8,830.5649623727313,4.3
374,6.89,4882.0,-0.0229,10.3,14.21544580709314,762.0,3.5
375,2.14,1500.0,-0.0466,15.0,120.0,10.0,4.3
376,9.69,5615.0,0.0035,12.7,38.1,914.0,3.2
377,13.79,1777.0,0.0883,9.5,9.5,1836.0,5.9
378,11.07,3391.0,0.0649,11.5,11.5,914.0,2.0
379,10.635065510058652,3933.0,-0.0653,10.3,10.3,762.0,4.1
380,16.0,4028.0,-0.1184,10.0,10.0,660.0,5.2
382,6.89,4787.0,-0.0595,10.3,14.21544580709314,762.0,5.3
384,6.89,5900.0,-0.0093,12.7,38.1,737.0,3.2
385,5.54,1519.0,0.1058,12.7,42.3,1778.0,3.1
386,6.86,1031.0,0.0823,8.589305208096429,10.8,216.0,3.3
388,5.51,1519.0,0.0642,12.7,42.3,1778.0,3.2
390,10.635065510058652,3070.4877791356516,-0.0801,1.9,1.9,152.0,10.7
391,10.635065510058652,1000.0,-0.0466,10.0,10.0,565.0,3.2
392,15.51,3701.0,0.0257,8.589305208096429,15.2,2134.0,4.1
393,13.79,1356.0,0.1524,7.7,7.7,830.5649623727313,1.6
394,10.635065510058652,2807.0,0.0208,6.4,15.9,914.0,3.0
395,15.51,2251.0,-0.0638,1.9,14.21544580709314,152.0,2.7
396,15.17,2658.0,0.009,9.5,9.5,35.0,2.7
398,18.96,3458.0,-0.192,1.9,14.21544580709314,696.0,2.8
399,6.86,4056.0,0.0129,10.8,10.8,864.0,3.9
401,3.9,4136.0,-0.0878,10.8,10.8,830.5649623727313,3.9
404,10.635065510058652,4055.0,0.1113,10.8,10.8,216.0,6.7
405,13.79,1980.0,-0.0515,7.7,7.7,457.0,2.9
406,10.635065510058652,1085.0,0.0155,23.6,23.6,830.5649623727313,0.9
408,13.79,666.0,-0.3201,7.7,7.7,457.0,3.4
409,13.79,3947.0,0.0863,4.6,4.6,295.0,2.3
410,10.635065510058652,3070.4877791356516,0.0396,10.8,10.8,864.0,2.4
411,15.17,3070.4877791356516,-0.0043,8.589305208096429,9.5,1836.0,3.2
412,10.635065510058652,1345.0,-0.0135,8.589305208096429,15.2,2134.0,2.0
413,6.89,3070.4877791356516,0.0144,7.7,7.7,457.0,2.5
414,10.0,4986.0,-0.0466,10.0,10.0,890.0,3.2
416,9.65,2292.0,0.0208,12.7,42.3,1778.0,2.3
418,12.0,3784.0,-0.0465,10.0,10.0,660.0,4.3
419,10.635065510058652,3070.4877791356516,-0.0329,6.4,14.21544580709314,914.0,8.2
420,10.34,7920.0,-0.1428,10.3,14.21544580709314,762.0,7.7
421,11.03,4136.0,0.099,1.9,14.21544580709314,696.0,2.8
422,13.79,5262.0,-0.3732,8.589305208096429,5.7,625.0,6.9
423,20.0,1842.0,-0.0007,10.0,14.21544580709314,830.5649623727313,3.1
424,10.635065510058652,2707.0,0.0249,5.6,15.2,2134.0,3.4
425,6.89,3070.4877791356516,0.0381,12.7,42.3,1778.0,3.7
427,17.24,2862.0,-0.0404,1.9,1.9,152.0,4.4
428,17.24,3076.0,-0.1761,1.9,1.9,696.0,2.3
430,13.79,2604.0,0.0334,7.7,7.7,457.0,2.2
431,10.635065510058652,2292.0,0.0448,12.7,42.3,2743.0,2.8
433,12.07,2618.0,-0.1005,1.9,1.9,25.0,2.3
435,9.68,3070.4877791356516,-0.0456,6.4,15.9,914.0,3.5
436,18.96,3458.0,-0.103,1.9,1.9,152.0,4.8
437,15.17,2984.0,-0.1161,1.9,1.9,830.5649623727313,10.6
439,10.41,1370.0,0.1274,4.6,4.6,229.0,2.5
442,13.79,7107.0,-0.424,4.7,14.21544580709314,318.0,3.0
443,13.79,3070.4877791356516,-0.0008,7.8,7.8,591.0,4.3
444,10.635065510058652,1085.0,0.0657,4.7,4.7,318.0,3.5
445,13.79,2699.0,-0.2106,4.7,4.7,318.0,5.9
446,18.96,2034.0,-0.2057,1.9,1.9,152.0,6.1
447,13.79,1275.0,0.1305,7.7,7.7,457.0,1.5
448,13.79,1335.0,0.0537,9.5,14.21544580709314,830.5649623727313,2.1
451,18.0,3070.4877791356516,-0.0465,10.0,10.0,1000.0,3.4
452,18.96,2740.0,-0.0364,1.9,1.9,152.0,4.8
453,10.635065510058652,3825.0,0.0102,23.6,23.6,1972.0,3.5
454,6.89,3070.4877791356516,0.0491,10.3,10.3,762.0,2.9
457,13.79,2034.0,0.022,7.7,7.7,830.5649623727313,2.1
463,10.34,7378.0,-0.1688,10.3,14.21544580709314,830.5649623727313,6.8
464,6.92,3070.4877791356516,0.0369,8.5,14.21544580709314,1778.0,2.6
465,10.34,7893.0,-0.0383,10.3,10.3,762.0,3.4
467,12.0,4001.0,-0.0071,10.0,10.0,890.0,4.1
470,13.79,1233.0,0.0505,7.8,7.8,591.0,9.0
471,17.24,2889.0,-0.0414,8.589305208096429,1.9,830.5649623727313,4.0
473,6.89,6795.0,-0.0569,10.3,14.21544580709314,794.0,6.2
474,13.79,1370.0,-0.2653,7.7,7.7,457.0,1.9
476,18.27,861.0,-0.1284,3.0,3.0,150.0,1.4
478,3.86,4069.0,0.0424,8.589305208096429,10.8,432.0,5.8
480,13.79,5316.0,-0.0398,4.7,4.7,318.0,4.3
481,6.86,1519.0,0.1007,12.7,42.3,1778.0,2.1
482,13.79,1492.0,0.1275,7.8,7.8,591.0,2.5
483,15.51,3070.4877791356516,-0.0833,1.9,1.9,696.0,2.5
484,16.0,1617.0,-0.2306,10.0,14.21544580709314,890.0,1.0
485,10.635065510058652,1410.0,-0.1892,4.7,4.7,305.0,4.3
490,0.1,1000.0,-0.0434,15.0,120.0,830.5649623727313,6.5
492,10.635065510058652,3797.0,-0.0089,8.589305208096429,23.6,1972.0,4.7
493,15.17,2676.0,0.1114,9.5,9.5,1836.0,1.4
494,15.51,1355.0,0.0568,5.6,15.2,830.5649623727313,1.9
496,13.79,3070.4877791356516,0.1114,9.5,14.21544580709314,1836.0,1.6
497,13.79,759.0,0.0981,7.8,14.21544580709314,591.0,2.1
498,4.93,3865.0,0.1332,8.589305208096429,5.6,830.5649623727313,3.6
499,8.27,1355.0,-0.027,8.589305208096429,15.2,2134.0,2.1
500,6.87,1519.0,0.0108,8.5,22.3,830.5649623727313,5.3
501,12.07,2441.0,-0.0321,1.9,1.9,152.0,2.3
505,7.34,3838.0,0.0433,10.8,10.8,864.0,2.9
507,6.89,3580.0,0.0363,5.6,5.6,432.0,4.2
508,10.635065510058652,3070.4877791356516,0.0196,10.3,10.3,762.0,3.3
509,12.07,3879.0,-0.0417,1.9,1.9,830.5649623727313,2.5
512,6.89,3070.4877791356516,0.0942,8.5,22.3,1829.0,2.3
514,11.1,4069.0,0.0787,8.589305208096429,11.5,830.5649623727313,2.3
518,13.79,2116.0,0.1056,7.8,7.8,591.0,3.6
519,0.51,1500.0,-0.0093,8.589305208096429,120.0,10.0,7.0
520,10.635065510058652,4032.0,0.1423,10.8,10.8,1727.0,3.9
523,0.1,1500.0,-0.0093,15.0,14.21544580709314,10.0,3.6
524,6.89,4069.0,0.0849,11.5,11.5,1727.0,2.6
526,10.635065510058652,1682.0,0.0025,8.0,8.0,830.5649623727313,4.6
528,11.03,3662.0,0.0409,5.6,15.2,2134.0,1.7
529,15.17,1332.0,0.0476,9.5,9.5,1836.0,2.3
532,6.89,4286.0,-0.0264,8.589305208096429,10.3,762.0,6.7
533,6.89,3070.4877791356516,-0.0235,3.6,3.6,830.5649623727313,4.9
535,6.86,4055.0,0.0424,10.8,14.21544580709314,864.0,5.4
536,6.89,3811.0,-0.0614,8.589305208096429,23.6,1972.0,0.9
537,10.635065510058652,3070.4877791356516,0.0886,7.7,7.7,830.5649623727313,2.6
538,16.0,1000.0,-0.0297,10.0,10.0,565.0,2.4
540,18.96,2889.0,-0.1166,1.9,14.21544580709314,152.0,5.4
543,9.68,2292.0,0.0184,12.7,42.3,830.5649623727313,3.3
544,12.0,4028.0,-0.0472,10.0,10.0,1300.0,2.5
546,6.98,3070.4877791356516,0.1058,12.7,14.21544580709314,737.0,2.0
547,10.34,7907.0,-0.0992,10.3,10.3,830.5649623727313,3.2
548,6.89,6279.0,-0.0254,8.589305208096429,10.3,762.0,2.5
549,12.07,3445.0,-0.0296,8.589305208096429,1.9,152.0,3.7
550,6.89,1641.0,0.0051,12.4,12.4,830.5649623727313,6.8
551,7.0,2061.0,0.0302,5.6,5.6,432.0,5.7
552,10.635065510058652,671.0,0.1824,8.589305208096429,22.3,2591.0,3.3
553,10.635065510058652,1736.0,0.0724,7.8,7.8,591.0,2.3
554,6.89,4048.0,0.0003,10.8,10.8,864.0,4.8
556,6.83,4123.0,0.0396,10.8,10.8,216.0,6.7
557,15.17,1335.0,0.1282,9.5,9.5,1836.0,2.2
558,10.34,3070.4877791356516,-0.0102,8.589305208096429,10.3,762.0,5.7
560,10.635065510058652,4069.0,0.0143,10.8,14.21544580709314,830.5649623727313,4.0
561,0.1,5642.0,0.0864,1.0,1.0,38.0,5.6
563,10.34,4150.0,-0.0997,10.3,10.3,762.0,5.4
564,10.635065510058652,1465.0,-0.001,7.8,7.8,591.0,14.7
565,13.79,3070.4877791356516,-0.1121,8.589305208096429,5.7,625.0,9.3
566,11.03,1355.0,0.0638,5.6,15.2,2134.0,1.6
568,6.89,5967.0,-0.0298,10.3,10.3,830.5649623727313,3.9
569,13.79,1035.0,0.1422,7.8,7.8,591.0,2.3
